Train_ID,Source,Destination,Date,Hour,Passenger_Count,Seat_Capacity,Number_of_Coaches,Platform,Delay_Minutes,Weekend,Holiday
T3701,Visakhapatnam,Indore,2025-03-01,18,866,500,10,11,29,0,1
T4130,Delhi,Hyderabad,2025-03-01,9,532,500,10,12,4,0,1
T5888,Chennai,Bhopal,2025-03-01,7,800,700,14,6,9,1,1
T1534,Kolkata,Lucknow,2025-03-01,17,631,800,16,1,9,0,0
T6867,Kolkata,Nagpur,2025-03-01,2,318,700,14,10,0,0,1
T9323,Coimbatore,Lucknow,2025-03-01,9,599,700,14,1,18,1,1
T8421,Visakhapatnam,Agra,2025-03-01,21,884,600,12,8,1,0,0
T2765,Nagpur,Mumbai,2025-03-01,18,740,700,14,2,3,1,0
T3056,Delhi,Indore,2025-03-01,9,252,600,12,1,15,0,1
T1947,Pune,Mumbai,2025-03-01,4,310,700,14,1,21,0,0
T1629,Tirupati,Visakhapatnam,2025-03-01,20,708,600,12,12,27,1,0
T9475,Kolkata,Jaipur,2025-03-01,14,217,500,10,2,25,1,1
T8040,Mumbai,Delhi,2025-03-01,20,616,700,14,7,2,0,0
T8279,Jaipur,Hyderabad,2025-03-01,10,562,800,16,1,2,1,1
T4678,Indore,Vijayawada,2025-03-01,8,611,800,16,1,4,0,1
T4887,Tirupati,Indore,2025-03-01,15,323,700,14,2,20,1,0
T9919,Visakhapatnam,Lucknow,2025-03-01,8,675,500,10,1,17,1,1
T5918,Bangalore,Nagpur,2025-03-01,16,475,700,14,3,15,1,0
T8528,Agra,Bhopal,2025-03-01,6,297,800,16,4,27,0,0
T3831,Nagpur,Jaipur,2025-03-01,12,311,800,16,3,16,1,1
T5656,Tirupati,Coimbatore,2025-03-01,15,202,800,16,11,5,0,0
T5788,Mumbai,Vijayawada,2025-03-01,11,549,600,12,8,13,0,0
T4696,Visakhapatnam,Bangalore,2025-03-01,8,510,800,16,4,25,0,1
T4592,Indore,Nagpur,2025-03-01,3,688,800,16,12,7,1,0
T7630,Lucknow,Kolkata,2025-03-01,16,360,500,10,12,11,0,1
T2730,Visakhapatnam,Vijayawada,2025-03-01,10,377,800,16,2,3,1,1
T4006,Bhopal,Surat,2025-03-01,0,396,600,12,2,17,0,1
T4870,Nagpur,Coimbatore,2025-03-01,16,652,700,14,2,26,0,0
T4558,Mumbai,Chennai,2025-03-01,5,444,800,16,2,3,0,1
T1870,Agra,Patna,2025-03-01,14,830,500,10,12,22,0,1
T9728,Ahmedabad,Visakhapatnam,2025-03-01,5,378,600,12,7,14,1,1
T8123,Bangalore,Nagpur,2025-03-01,15,415,700,14,1,27,1,1
T8368,Bhopal,Delhi,2025-03-01,16,622,700,14,11,23,0,1
T6747,Bhopal,Lucknow,2025-03-01,1,419,800,16,11,19,1,1
T6572,Coimbatore,Tirupati,2025-03-01,21,391,800,16,5,27,1,0
T9194,Ahmedabad,Hyderabad,2025-03-01,12,498,500,10,2,14,0,1
T7603,Pune,Kolkata,2025-03-01,19,801,800,16,9,21,0,1
T2864,Ahmedabad,Pune,2025-03-01,11,865,700,14,10,16,1,0
T9664,Patna,Bangalore,2025-03-01,23,764,600,12,2,29,0,0
T7531,Mumbai,Visakhapatnam,2025-03-01,15,318,500,10,8,15,1,1
T7398,Ahmedabad,Chennai,2025-03-01,17,382,500,10,4,27,1,0
T1194,Agra,Lucknow,2025-03-01,4,263,700,14,11,16,1,1
T7269,Tirupati,Patna,2025-03-01,9,429,800,16,6,7,1,0
T7747,Kolkata,Lucknow,2025-03-01,15,772,700,14,4,10,1,0
T7323,Kolkata,Agra,2025-03-01,13,623,600,12,3,3,0,0
T9535,Indore,Coimbatore,2025-03-01,21,794,500,10,5,12,1,0
T1307,Vijayawada,Tirupati,2025-03-01,8,689,600,12,6,14,0,1
T5846,Agra,Nagpur,2025-03-01,2,718,700,14,8,27,1,1
T8133,Delhi,Bhopal,2025-03-01,20,553,700,14,11,22,1,1
T6973,Tirupati,Nagpur,2025-03-01,4,550,500,10,2,13,0,1
T7137,Visakhapatnam,Lucknow,2025-03-01,6,844,800,16,5,19,0,0
T3664,Bhopal,Tirupati,2025-03-01,5,375,800,16,8,4,1,0
T1847,Agra,Hyderabad,2025-03-01,14,232,500,10,11,28,1,0
T6189,Indore,Lucknow,2025-03-01,4,516,600,12,9,19,0,0
T8491,Surat,Tirupati,2025-03-01,9,265,800,16,1,19,1,0
T6022,Pune,Surat,2025-03-01,11,233,500,10,12,28,1,0
T5353,Jaipur,Indore,2025-03-01,13,898,700,14,3,13,1,1
T1388,Pune,Coimbatore,2025-03-01,10,225,800,16,6,23,0,0
T4327,Jaipur,Ahmedabad,2025-03-01,13,439,600,12,8,17,1,0
T7701,Jaipur,Mumbai,2025-03-01,19,217,500,10,9,2,1,0
T2425,Chennai,Tirupati,2025-03-01,18,308,800,16,6,27,1,1
T3958,Bhopal,Mumbai,2025-03-01,9,875,700,14,5,5,1,0
T7865,Delhi,Visakhapatnam,2025-03-01,15,674,600,12,10,23,1,1
T9678,Chennai,Patna,2025-03-01,18,315,700,14,10,17,1,0
T2085,Kolkata,Bhopal,2025-03-01,6,565,500,10,8,7,1,0
T5597,Ahmedabad,Pune,2025-03-01,9,327,500,10,4,1,0,1
T8877,Patna,Jaipur,2025-03-01,19,458,500,10,11,0,1,1
T1666,Lucknow,Patna,2025-03-01,3,408,600,12,9,3,1,0
T2903,Agra,Vijayawada,2025-03-01,7,477,600,12,12,22,1,0
T6895,Indore,Agra,2025-03-01,2,664,800,16,6,7,0,0
T3284,Visakhapatnam,Lucknow,2025-03-01,4,291,600,12,9,22,1,1
T9142,Surat,Ahmedabad,2025-03-01,2,562,500,10,9,10,0,0
T9013,Visakhapatnam,Indore,2025-03-01,6,467,700,14,12,18,0,1
T1873,Delhi,Vijayawada,2025-03-01,4,606,700,14,4,30,1,1
T6077,Mumbai,Ahmedabad,2025-03-01,9,811,700,14,11,4,1,1
T2007,Pune,Nagpur,2025-03-01,18,514,800,16,10,16,1,0
T2119,Patna,Chennai,2025-03-01,6,707,800,16,1,4,0,0
T9460,Agra,Mumbai,2025-03-01,1,644,700,14,9,1,0,0
